//# 仕様
//
//## 各設定シート
//
//## Characterシート : 宴4に対する制限事項
//
//- CharacterName, NameText, Pattern, X, Y, Pivot, Scale, FileName, FileType, AnimationStateのみ機能する
//- FileTypeは、空欄、2DPrefabのみ対応。RenderTextureモードは非対応
//    - FileTypeに2DPrefabを指定した場合のみ、プレハブ直下に設定されたAnimatorを認識し、AnimationStateでAnimator.Play(stateName)する
//    - 単一のキャラクターが複数のFileTypeを持つことは出来ず、全てのパターンは同一のFileTypeである必要がある
//- NameTextはキャラごとの1行目に必須。paramは非対応
//- Pivotの数値指定は未対応
//
//## Textureシート : 宴4に対する制限事項
//
//- Label, Type, X, Y, Pivot, Scale, FileName, FileTypeのみ機能する
//- FileTypeは、空欄、2DPrefabのみ対応。RenderTextureモードは非対応
//    - FileTypeに2DPrefabを指定した場合のみ、プレハブ直下に設定されたAnimatorを認識し、Entryから入るアニメーションが再生される
//- Typeでは、Bg, Spriteのみ対応
//- Pivotの数値指定は未対応
//
//## Soundシート : 宴4に対する制限事項
//
//- Label, Type, FileNameのみ対応
//- Typeでは、Se, Bgmのみ対応
//- AdvRootのAllowsVoiceLabelをtrueにすると、SoundシートでVoiceタイプを認識し、使用できるようになる
//    - この機能は宴4互換ではないため、デフォルトではfalseになっている
//
//## Paramシート : 宴4に対する制限事項
//
//- Label, Valueのみ機能する
//- TypeはIntのみ固定
//- 変数置換に string.Replace を使用しているため、変数名が部分一致で変換される危険がある
//
//## 宴4互換フォルダ構成
//
//- Resources/ProjectName/Sound/BGM
//- Resources/ProjectName/Sound/SE
//- Resources/ProjectName/Sound/Voice
//- Resources/ProjectName/Texture/BG
//- Resources/ProjectName/Texture/Character
//- Resources/ProjectName/Texture/Sprite
//
//## シナリオとコマンド
//
//### Scenarioシート
//
//- WaitTypeは、未指定かNoWaitのみ対応
//- WindowTypeは非対応。代わりに、ChangeMessageWindowコマンドは使用可能
//- 宴レイヤー機能はなく、簡易実装
//    - Layerシートはない。Bgは専用、SpriteとCharacterはそれぞれ(奥)0～7(手前)を指定する
//    - SpriteとCharacterが同じレイヤー番号の場合、Characterが手前
//    - 構造としては、Bg用のCanvasBg、SpriteやCharacter用のCanvasSprite、メッセージウィンドウなどのCanvasUIの3つのCanvasに分かれている
//- Skipの挙動が宴4と異なる。Wait全般がWaitを待つ
//
//### コマンド詳細
//
//コマンド           |カテゴリ|制限事項
//-------------------|--------|--------------------------------------------------------
//空欄(Arg1未指定)   |Text    |PageCtrlはInput系3種とNextのみ対応。利用可能なタグはTMPが自動的に対応するもののみ
//空欄(Arg1あり)     |Text    |レイヤーは0～7を指定する簡易実装。Arg1～Arg6でのparamタグ、Characterタグなどは、Arg2へのOffタグ以外は全て非対応。PageCtrlやText等はArg1未指定と同様の制限事項。Voiceは後述
//CharacterOff       |Object  |Arg1はキャラクター指定のみ対応
//Bg                 |Object  |レイヤーに非対応
//BgOff              |Object  |-
//Sprite             |Object  |スプライト名とラベルに区別がなく、インスタンス化できない。レイヤーは0～7を指定する簡易実装
//SpriteOff          |Object  |スプライト名とラベルに区別がなく、インスタンス化できない
//Se                 |Sound   |同時に再生可能な数は8つまで。9つ目を再生すると最も古いものが停止される
//Bgm                |Sound   |-
//StopSe             |Sound   |-
//StopBgm            |Sound   |-
//Wait               |Effect  |-
//FadeIn             |Effect  |カメラ、アニメ指定は非対応。ルール画像はFadeHorizontal、FadeVertical、MosesH、MosesV、Cloudのみ対応。独自拡張として、Arg5にtrueを指定すると、ルール画像をネガポジ反転して使用できる。また、ルール画像の別名が5種がある。
//FadeOut            |Effect  |カメラ、アニメ指定は非対応。ルール画像はFadeHorizontal、FadeVertical、MosesH、MosesV、Cloudのみ対応。独自拡張として、Arg5にtrueを指定すると、ルール画像をネガポジ反転して使用できる。また、ルール画像の別名が5種がある。
//ImageEffect        |Effect  |カメラ、アニメ指定は非対応。ただし、カメラにはSpriteCameraを指定が必要。GrayScale、Sepiaのみ指定可能
//ImageEffectOff     |Effect  |カメラ、アニメ指定は非対応。ただし、カメラにはSpriteCameraを指定が必要。GrayScale、Sepiaのみ指定可能
//Tween              |Effect  |個別名のみ指定可能（背景はBGで指定可能）で、レイヤー指定は未対応。TweenTypeはMoveTo/From/Byの3種、Punch/Shake系のPositionとScale4種で計7種のみ。TweenParameterはislocalが指定可能なものはislocal=trueを指定しないとエラー(グローバルが許容されない)、色関連は非対応、=の左右に空白は許容されない制限あり。Easeはspringだけ非対応。loop非対応。Easeライブラリが宴と異なるため、挙動差がある可能性あり
//ShowMessageWindow  |UI      |独自拡張：Arg6でfadeSeconds指定可能（省略時0秒）。
//HideMessageWindow  |UI      |独自拡張：Arg6でfadeSeconds指定可能（省略時0秒）。
//ChangeMessageWindow|UI      |独自拡張：Arg6でfadeSeconds指定可能（省略時0秒）。
//Param              |Logic   |宴4互換で使用可能な演算子が少ない。詳細後述。変数にも制限あり
//Jump               |Logic   |宴4互換で使用可能な演算子が少ない。詳細後述。変数にも制限あり
//Selection          |Logic   |プレハブ、X、Yの個別指定は非対応。宴と仕様が異なり、直前のテキスト内容は非表示にならない。また、選択肢を出した後にテキストをさらに出すことも出来ない
//PauseScenario      |End     |-
//
//.
//
//### 独自コマンド
//
//コマンド         |カテゴリ|備考
//-----------------|--------|----------------
//SelectionTitle   |Logic   |Textに表示内容。Selectionの手前に置くことで表示できる
//
//.
//
//### 独自部分の補足
//
//#### レイヤー全般について
//
//- レイヤーの自作等の機能はなく、0～7の指定があるのみ。同一番号ではSpriteとCharacterはCharacterが手前
//
//#### 通常のFadeについて
//
//- UIより奥に配置され、フェードした状態でメッセージウィンドウなど各種UIが表示可能がデフォルト。
//
//#### Voiceについて
//
//- デフォルトでは宴4互換でVoiceフォルダ以下からのファイル名のみ許容します
//- AdvRootのAllowsVoiceLabelをtrueにすると、SoundシートでVoiceタイプを認識し、使用できるようになる
//    - この機能は宴4互換ではなく、後で宴に移行する際に障壁になりやすいため、デフォルトではfalseになっている
//
//### 宴4互換で使用可能な変数、演算子
//
//変数について
//
//- Paramシート定義はintのみ可能。なお計算式中は自動的にdouble相当になり、除算結果も小数になる。文字列等は非対応
//- string.Replace を使用しているため、変数名が部分一致で変換される危険がある。
//
//演算子について
//
//- 四則演算   : 宴4に準ずる
//- 比較演算子 : 宴4に準ずる
//- 単項演算   : 非対応
//- 括弧       : 宴4に準ずる
//- 論理演算   : 宴4に準ずる
//- 代入演算   : = のみ可能
//- 組込み関数 : 全て不可
//
//※ DataTable.Compute()を使用しているため、宴4にはない演算子やキーワードが解釈される場合がある
//いわゆる、SQLに登場するキーワード (AND, OR, NOT, LIKE, IN など)
//後で宴4などに乗り換える想定がある場合は、使用しないほうが無難
//
//### 補足
//
//- 改ページ直後の演出コマンド時、自動的にWindowをHide。（宴準拠）
//    - AdvRootのEmulatesUtageEffectCommandをfalseにすると、演出コマンドに対してWindowが非表示にならなくなる
//- Text時、自動的にWindowをShow。（宴準拠）

//###############################################################################

Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType
Bgm,BGMその1,,,,,0,,,,,,
Bg,背景その1,,,,,,,,,,,
Wait,,,,,,1,,,,,
FadeIn,black,,,,,3,,,,,
,,,,,,,,"開始時は黒FadeOut状態・メッセージウィンドウ表示なしで始まる。",,,

//###############################################################################

*Labelスタート地点,,,,,,,,,,,
SelectionTitle,,,,,,,,機能説明,,,
Selection,*Labelテキストとキャラクター,,,,,,,テキストとキャラクター,,,,
Selection,*Labelオブジェクト表示,,,,,,,オブジェクト表示,,,,
Selection,*Labelサウンド,,,,,,,サウンド,,,,
Selection,*Label演出,,,,,,,演出,,,,
Selection,*LabelUI,,,,,,,UI,,,,
Selection,*Labelロジック制御,,,,,,,ロジック制御,,,,
Selection,*Label終了制御,,,,,,,終了制御,,,,

//###############################################################################

*Labelテキストとキャラクター,,,,,,,,,,,
SelectionTitle,,,,,,,,テキストとキャラクター,,,
Selection,*Labelスタート地点,,,,,,,戻る,,,,
Selection,*Labelト書きテキスト,,,,,,,ト書きテキスト,,,,
Selection,*Labelキャラクター台詞,,,,,,,キャラクター台詞,,,,
Selection,*Label演出コマンドとの干渉,,,,,,,演出コマンドとの干渉,,,,
Selection,*LabelTMP_Text補足,,,,,,,TMP_Text補足,,,,

*Labelト書きテキスト,,,,,,,,,,,
,,,,,,,,"Commandが空欄でテキスト表示。\n半角バックスラッシュnで改行。\nPageCtrlにInputBrPageを指定した場合、",InputBrPage,,
,,,,,,,,"改ページされる。",,,
,,,,,,,,"PageCtrlを省略した場合、",,,
,,,,,,,,"InputBrPageと同じ。",,,
,,,,,,,,"PageCtrlにInputBrを指定した場合、",InputBr,,
,,,,,,,,"改行だけされ、同じページとして続く。",,,
,,,,,,,,"PageCtrlにNextを指定した場合、",Next,,
,,,,,,,,"次のコマンドが即座に実行される。",,,
Jump,*Labelテキストとキャラクター,,,,,,,,,,

*Labelキャラクター台詞,,,,,,,,,,,
,名無し,,,,,,,"Arg1に名前を指定できる。",,,
,男子学生,,,,,,,"Arg1にCharacterシートにあるキャラクター識別子を指定すると、そのキャラクターの表示も行われる。",,,
,男子学生,,,,,,,"Arg2～Arg5が空欄なら最後の状態を継続。\n(パターン・座標・レイヤーが継続される)",,,
,男子学生,笑い,1,525,-180,1.0,,"Arg2～Arg6も必要に応じて指定可能。",,,
,男子学生,,,,,,,"Arg2～Arg5が空欄なら最後の状態を継続。\n(パターン・座標・レイヤーが継続される)",,,
,女子学生,,2,-525,,1.0,,"レイヤー違いを指定して複数のキャラクターが表示可能です。\n発言者以外はグレーアウト。",,,
,女子学生,,,,,,,"私の発言が続くと特に変化はありません。",,,
,男子学生,,,,,,,"俺が発言すると発言者が変わる。",,,
,,,,,,,,"キャラクターも名前も指定がない場合は、ト書き扱いで発言者が変わったことにならない。",,,
,？？？,,,,,,,"Arg1に名前の指定がある場合、発言者が変わった扱いになる。",,,
,男子学生,,2,,,,,"キャラクターを表示しているレイヤーを指定すると前のキャラクターは消える。\n（移動によるレイヤー2への上書き）",,,
,女子学生,,2,-300,,,,"キャラクターを表示しているレイヤーを指定すると前のキャラクターは消えます。\n（表示開始によるレイヤー2への上書き）",,,
,男子学生,,1,525,,,,"再度表示(レイヤー1)",,,
,男子学生,,,,,,,"CharacterOffで指定したキャラクターを非表示にできる。",,,
CharacterOff,男子学生,,,,,,,,,,
,女子学生,,,,,,,"何らかの手段で非表示にした後は、状態（パターン・座標・レイヤー）がリセットされます。",,,
,男子学生,,,,,,,"状態がリセットされたため、Arg2～Arg5が空欄ならデフォルトパターン・中央・レイヤー0で表示される。",,,
,男子学生,,,,,,,"フェード時間を1秒でCharacterOff。",,,
CharacterOff,男子学生,,,,,1.0,,,,,
,女子学生,,,,,,,"フェード時間を2秒でCharacterOffします。",,,
CharacterOff,女子学生,,,,,2.0,,,,,
,,,,,,,,"テキストが空欄の場合、強制的にNext扱いになる。\nフェード時間とWaitコマンドを組み合わせれば、",,,
,男子学生,,1,525,,1.0,,,,,
,女子学生,,2,-525,,1.0,,,,,
Wait,,,,,,1,,,,,
,女子学生,,,,,,,"複数キャラの同時表示も実現可能です。",,,
,女子学生,,,,,,,"Voiceも対応しています。\n（VOICEVOX: 四国めたん）",,sample_voice1.wav,
,女子学生,,,,,,,"AdvRootのAllowsVoiceLabelをtrueにした場合のみ、Sound側でVoiceラベル定義が可能になります。",,Voiceその2,
,女子学生,,,,,,,"誰も表示していない状態から一斉にキャラクターを表示した際、\n発言者が変わるまで全員グレーアウトしません。",,,
,男子学生,,,,,,,"ここで俺に発言が変わったため、グレーアウト制御が入った。",,,
,女子学生,,,,,,,"Arg2に<Off>タグ（互換性のために大文字小文字区別します）を指定すると、",,,
,女子学生,<Off>,,,,,,"キャラ表示を抑制できます。\nこの場合も、状態（パターン・座標・レイヤー）はリセットされます。",,,
,女子学生,<Off>,,,,,,"消し続けるには<Off>タグを指定し続ける必要があります。",,,
,女子学生,,,,,,,"何も指定しなければ再表示されます。",,,
Jump,*Labelテキストとキャラクター,,,,,,,,,,

*Label演出コマンドとの干渉,,,,,,,,,,,
,,,,,,,,"改ページ直後に演出系コマンドが配置された場合、",,,
Wait,,,,,,2,,,,,
,,,,,,,,"メッセージウィンドウが非表示になる。\nテキスト表示をすると自動的にウィンドウが再表示される。",,,
,,,,,,,,"改ページ直後ではない時に演出系コマンドが配置された場合、",InputBr,,
Wait,,,,,,2,,,,,
,,,,,,,,"メッセージウィンドウはそのままになる。",,,
,,,,,,,,"改ページ直後に演出系コマンドを置きたいが、メッセージウィンドウを消したくない場合は、",,,
ShowMessageWindow,,,,,,,,,,,
Wait,,,,,,2,,,,,
,,,,,,,,"ShowMessageWindowなど何らかのコマンドを先に置いてから演出系コマンドを置く。",,,
Jump,*Labelテキストとキャラクター,,,,,,,,,,

*LabelTMP_Text補足,,,,,,,,,,,
,,,,,,,,"名前や本文はTMPが認識するタグを使用可能。\nただし、シナリオファイル読み取りの関係上、タグの属性値をダブルクォーテーションで囲わないでください。",,,
,,,,,,,,"以下代表的なものを抜粋。",,,
,,,,,,,,"colorタグの例：<color=red>赤文字</color>\nsizeタグの例<size=150%>150%サイズ</size>",,,
,,,,,,,,"bタグの例：<b>ボルド（太字）</b>\niタグの例：<i>イタリック（斜体）</i>",,,
,,,,,,,,"sタグの例：<s>ストライク（取り消し線）</s>\nuタグの例：<u>アンダーライン（下線）</u>",,,
,,,,,,,,"markタグの例：<mark=yellow>マーカー</mark>\nsupタグの例：10<sup>2</sup>\nsubタグの例：H<sub>2</sub>O",,,
,,,,,,,,"<align=right>右寄せ</align>\n<align=center>中央寄せ</align>\n<align=left>左寄せ</align>",,,
,,,,,,,,"<align=flush>flush（均等割り付け）</align>",,,
Jump,*Labelテキストとキャラクター,,,,,,,,,,

//###############################################################################

*Labelオブジェクト表示,,,,,,,,,,,
SelectionTitle,,,,,,,,オブジェクト表示,,,
Selection,*Labelスタート地点,,,,,,,戻る,,,,
Selection,*LabelBg表示,,,,,,,Bg表示,,,,
Selection,*LabelSprite表示,,,,,,,Sprite表示,,,,
